55702,17.9527,0
27240,36.7107,12.0566
41578,24.0512,16.0615
22500,44.4444,20.4052
32632,30.6448,22.2651
26834,37.2662,24.2145
16861,59.3085,26.8638
13291,75.2389,29.5807
13266,75.3807,32.0118
13292,75.2332,34.1944
13297,75.2049,36.1666
13292,75.2332,37.9585
13308,75.1428,39.5912
13286,75.2672,41.0893
13291,75.2389,42.4659
13277,75.3182,43.7378
13286,75.2672,44.9135
13299,75.1936,46.0033
13306,75.1541,47.0164
13292,75.2332,47.9632
13281,75.2955,48.8498
13292,75.2332,49.6793
13291,75.2389,50.4585
13264,75.392,51.1945
13289,75.2502,51.8856
13486,74.151,52.5163
15733,63.5607,52.8695
16713,59.8337,53.0984
16854,59.3331,53.2984
16746,59.7158,53.4967
16797,59.5344,53.6781
16672,59.9808,53.8607
21482,46.5506,53.5976
13736,72.8014,54.0295
15226,65.6771,54.3128
16708,59.8516,54.4567
16919,59.1051,54.5758
16694,59.9018,54.7072
16777,59.6054,54.8257
16735,59.755,54.9419
16893,59.1961,55.0408
17025,58.7372,55.1254
16458,60.7607,55.2473
16931,59.0633,55.3304
16687,59.9269,55.427
17023,58.7441,55.4966
16495,60.6244,55.5989
16885,59.2242,55.6714
16729,59.7764,55.7511
16966,58.9414,55.8128
16527,60.507,55.8995
16883,59.2312,55.9612
16739,59.7407,56.0294
16747,59.7122,56.0946
16855,59.3296,56.1513
16776,59.609,56.2106
16783,59.5841,56.2674
16706,59.8587,56.3267
16747,59.7122,56.3817
16876,59.2557,56.4281
16871,59.2733,56.4733
16606,60.2192,56.5309
16767,59.641,56.5785
16876,59.2557,56.6191
16753,59.6908,56.6647
17043,58.6751,56.6946
16455,60.7718,56.7522
16839,59.3859,56.7898
16783,59.5841,56.829
16762,59.6588,56.8681
17111,58.4419,56.8899
16499,60.6097,56.9392
16798,59.5309,56.9736
16701,59.8767,57.0114
16755,59.6837,57.0459
17107,58.4556,57.0643
16512,60.562,57.1076
16847,59.3577,57.1357
16651,60.0565,57.1714
16876,59.2557,57.1968
17147,58.3192,57.2106
16311,61.3083,57.2579
16860,59.312,57.2821
16768,59.6374,57.3093
16790,59.5593,57.3351
17142,58.3363,57.3466
16480,60.6796,57.3833
16851,59.3437,57.4051
16659,60.0276,57.4336
16771,59.6267,57.4573
17228,58.045,57.4637
16367,61.0986,57.5013
16827,59.4283,57.5215
16651,60.0565,57.5476
16892,59.1996,57.5647
17239,58.008,57.5693
16259,61.5044,57.6077
16747,59.7122,57.6287
16883,59.2312,57.6446
16748,59.7086,57.6647
16860,59.312,57.6807
16640,60.0962,57.7037
16870,59.2768,57.7187
16751,59.6979,57.7372
16744,59.7229,57.7557
16846,59.3613,57.7706
16784,59.5806,57.7871
16745,59.7193,57.8046
16713,59.8337,57.8227
16787,59.5699,57.8382
16878,59.2487,57.8507
16749,59.7051,57.8669
16750,59.7015,57.8828
16714,59.8301,57.8994
16908,59.1436,57.9101
16849,59.3507,57.9223
16650,60.0601,57.9401
16750,59.7015,57.9547
16878,59.2487,57.9655
16746,59.7158,57.9797
16842,59.3754,57.9911
16658,60.0312,58.0074
16876,59.2557,58.0174
16736,59.7514,58.0311
16757,59.6766,58.044
16838,59.3895,58.0545
16797,59.5344,58.066
16746,59.7158,58.0786
16738,59.7443,58.0912
16888,59.2136,58.0998
